District,date,observations,max_daily_rainfall_mm,mean_daily_rainfall_mm,max_risk_score,mean_risk_score,high_count,critical_count,risk_category
CHAMOLI,2026-08-19,1,6.3,6.3,10.0,10.0,0,0,LOW
CHAMOLI,2026-08-20,1,9.6,9.6,16.0,16.0,0,0,LOW
CHAMOLI,2026-08-21,1,11.0,11.0,20.0,20.0,0,0,LOW
CHAMOLI,2026-08-22,1,2.4,2.4,10.0,10.0,0,0,LOW
CHAMOLI,2026-08-23,1,18.0,18.0,32.0,32.0,0,0,MODERATE
CHAMOLI,2026-08-24,1,3.8,3.8,10.0,10.0,0,0,LOW
CHAMOLI,2026-08-25,1,5.4,5.4,10.0,10.0,0,0,LOW
CHAMOLI,2026-08-26,1,0.2,0.2,10.0,10.0,0,0,LOW
CHAMOLI,2026-08-27,1,1.7,1.7,10.0,10.0,0,0,LOW
CHAMOLI,2026-08-28,1,12.2,12.2,20.0,20.0,0,0,LOW
CHAMOLI,2026-08-29,1,6.5,6.5,10.0,10.0,0,0,LOW
CHAMOLI,2026-08-30,1,20.3,20.3,58.0,58.0,0,0,MODERATE
CHAMOLI,2026-08-31,1,17.4,17.4,40.0,40.0,0,0,MODERATE
CHAMOLI,2026-09-01,1,14.7,14.7,20.0,20.0,0,0,LOW
CHAMOLI,2026-09-02,1,11.3,11.3,20.0,20.0,0,0,LOW
CHAMOLI,2026-09-03,1,10.2,10.2,20.0,20.0,0,0,LOW
CHAMOLI,2026-09-04,1,20.7,20.7,70.0,70.0,1,0,HIGH
CHAMOLI,2026-09-05,1,22.2,22.2,90.0,90.0,0,1,CRITICAL
CHAMOLI,2026-09-06,1,18.3,18.3,40.0,40.0,0,0,MODERATE
CHAMOLI,2026-09-07,1,16.7,16.7,52.0,52.0,0,0,MODERATE
CHAMOLI,2026-09-08,1,7.4,7.4,10.0,10.0,0,0,LOW
CHAMOLI,2026-09-09,1,0.0,0.0,10.0,10.0,0,0,LOW
CHAMOLI,2026-09-10,1,0.0,0.0,10.0,10.0,0,0,LOW
CHAMOLI,2026-09-11,1,34.7,34.7,90.0,90.0,0,1,CRITICAL
CHAMOLI,2026-09-12,1,12.2,12.2,28.0,28.0,0,0,LOW
CHAMOLI,2026-09-13,1,3.9,3.9,10.0,10.0,0,0,LOW
CHAMOLI,2026-09-14,1,4.9,4.9,10.0,10.0,0,0,LOW
CHAMOLI,2026-09-15,1,8.7,8.7,20.0,20.0,0,0,LOW
CHAMOLI,2026-09-16,1,5.1,5.1,14.0,14.0,0,0,LOW
CHAMOLI,2026-09-17,1,0.0,0.0,10.0,10.0,0,0,LOW
CHAMOLI,2026-09-18,1,1.4,1.4,10.0,10.0,0,0,LOW
CHAMOLI,2026-09-19,1,0.0,0.0,10.0,10.0,0,0,LOW
